0,滴滴,司机,乘客,客服,游戏,公司,平台,全文,师傅,快车,电话,玩家,顺风,手机,订单,时间,出租车,网约,垃圾,北京
滴滴,0,757,295,288,261,270,232,408,138,171,146,157,101,90,129,133,119,90,94,98
司机,757,0,229,159,1,134,140,208,68,89,103,0,35,57,90,63,58,39,52,32
乘客,295,229,0,56,0,72,74,90,24,39,42,0,23,24,44,33,20,20,17,10
客服,288,159,56,0,0,54,59,105,21,51,82,0,16,28,46,31,9,4,31,9
游戏,261,1,0,0,0,1,7,59,0,0,0,133,0,5,0,14,0,0,1,0
公司,270,134,72,54,1,0,38,73,10,30,30,0,11,9,21,20,24,25,30,13
平台,232,140,74,59,7,38,0,88,17,34,32,2,22,13,38,20,18,26,24,14
全文,408,208,90,105,59,73,88,0,38,53,71,43,29,38,50,47,24,43,13,34
师傅,138,68,24,21,0,10,17,38,0,11,17,0,4,14,18,8,14,4,8,8
快车,171,89,39,51,0,30,34,53,11,0,25,0,17,12,18,15,24,8,4,8
电话,146,103,42,82,0,30,32,71,17,25,0,0,13,25,32,26,9,3,11,9
玩家,157,0,0,0,133,0,2,43,0,0,0,0,0,4,0,10,0,0,0,0
顺风,101,35,23,16,0,11,22,29,4,17,13,0,0,4,9,18,12,12,7,12
手机,90,57,24,28,5,9,13,38,14,12,25,4,4,0,10,15,7,4,5,6
订单,129,90,44,46,0,21,38,50,18,18,32,0,9,10,0,22,10,7,14,3
时间,133,63,33,31,14,20,20,47,8,15,26,10,18,15,22,0,11,7,3,11
出租车,119,58,20,9,0,24,18,24,14,24,9,0,12,7,10,11,0,11,5,6
网约,90,39,20,4,0,25,26,43,4,8,3,0,12,4,7,7,11,0,0,13
垃圾,94,52,17,31,1,30,24,13,8,4,11,0,7,5,14,3,5,0,0,3
北京,98,32,10,9,0,13,14,34,8,8,9,0,12,6,3,11,6,13,3,0
